title,company,location,link
Frontend Developer (Javascript/React),Bepro Company,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d11342cfe074df78
NAVER IDC 서버 운영/관리(평촌),NIT Service,안양 동안구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=097c35ed002a62e5
[Autonomous Driving] Virtual Environment...,네이버랩스,경기도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b2170ba059dd7f06
"하드웨어, IoT 단말기 신입/경력 정규직",디바이스넷,안양 동안구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b5bca9e34cc209c0
[NIT Service] NAVER IDC 서버 운영/관리(평촌),엔아이티서비스,안양 동안구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=bb54f78c70eff609
[한국광기술원] 2020년 하반기 공개(~9/10),한국광기술원,광주 북구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=8b9c3ab9b6ee6fc7
'20년 8월 전지사업본부 경력사원 (DX/구매/SCM/기획/혁신/환경안...,LG화학,대전 유성구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=494ae07b28ee250e
Data Scientist,"Koniag, Inc.",대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=193bfe67eed05c31
Infra사업본부 Bigdata 프로젝트 개발자 件,SK 네트웍스서비스,경기도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2cff377c899798fc
[EY한영] 금융감사본부 Data Analytics 전문 경력직 모집,EY,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=4207c3ceb2dad58c
[Autonomous Driving] Software Tool Engin...,네이버랩스,경기도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=73343398766b552b
보훈대상자 인재 채용,네오위즈,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=dfcb86f156623e5c
[전문연구요원] 상시 (전직),네이버랩스,경기도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=14b591547a3b9df5
(성남시민 주목) 웹 개발자 전문가 양성과정 참여자,성남산업진흥원,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e2394d668d5c6895
20년 8월 전지사업본부 경력사원 (생산기술 등),LG화학,청주 오창읍,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=200b4256278a143b
[Robotics] Deep Reinforcement Learning E...,네이버랩스,경기도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=30097c7df75e45a5
데이터 분석가/사이언티스트(신입/경력),쏘카,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=776a7ce9f625189d
"소프트웨어 엔지니어, C,C++,Python 외 신입/경력 정규직",이투비비,서울 금천구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=231878ad9df98dae
[R&D] 전동화 시스템 개발,현대자동차그룹,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=dd3bc9f4c6a3355f
[R&D] 연구개발 품질 기획,현대자동차그룹,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c48bc83a2a43f22b
보험 신규사업 비즈니스 분야 담당자 영입,카카오페이,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e30f23f4f814b717
[기술기획] 클라우드 플랫폼 개발자,한국카카오은행,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5677a2eb3bba9c10
2020년 하반기 각 부문 신입/경력,스탠드포인트,서울 금천구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=158d61f253f65fb4
데이터 사이언티스트 (빅데이터/Python/R/데이터마이닝),이씨이십일알앤씨,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=9b528300e8743fee
"JAVA, Python 외 신입/경력 정규직, 계약직",여니,경기도 의왕,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3faad1cd7ea60ffd
데이터 분석가 모집,카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=092d062a6faa7139
Launcher팀 소프트웨어 엔지니어,Nexon,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d71794dc69947981
데이터 엔지니어,네오위즈,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5d213b12c26dec92
블록체인 시스템 엔지니어 채용(무관),네오위즈,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ef10a663799ced7d
빅데이터 분석 기술인력,한국정보기술단,과천 과천시,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3cc384be4fd74af2
데이터 분석가,스포카,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=4eff6a88fdd7bb0b
Marketing Data Engineer,네오위즈,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1e2a8387b572f9f1
분석지원팀 - 데이터 분석가,Nexon,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=4233609a843b5e96
"[Legacy Versum] QA Engineer, 평택",Merck KGaA,경기도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=f46fc1d52116909a
Sr Field Engineer I,Raytheon Intelligence & Space,경기도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=856eb0b587603389
(주)엠케이 2020하반기 인공지능(AI)/빅데이터 외 신입&경력,엠케이,대전 유성구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5cd97ded9b447efb
[R&D] 바디 시스템 제어기 설계,현대자동차그룹,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=0030905b4e491350
[R&D] 차체 시스템 설계/시험,현대자동차그룹,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=7ed03d22b3b6b635
[해외취업] AI 엔지니어,株式会社ASCOM,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=cdc69e78bbccefd3
"[해외취업] 베리텍, 시스템개발자/응용프로그래머",에임하이글로벌,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3e2ccf374eae0c90
"[해외취업] 누리누비, 시스템개발자/응용프로그래머",에임하이글로벌,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b8484108a7f4884f
Legacy Versum [리가시 버슘] Automation Engine...,Merck KGaA,경기도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=03fa253ba96ac599
Software Engineer,Google,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=857ae30c0bacaa35
[아이콘트롤스] 2020년 경력 직원 (데이터분석),현대산업개발,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=792d3ac05912a792
2020년도 국비기술교육생,대한상공회의소 광주인력개발원,광주 광산구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=09682af104f3eaac
"Field Application Engineer, Korea",Arteris,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1b06cec85f4b58e8
Developer / Designer recruit,마이뮤직테이스트,서울 논현동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=55a19c92c845685e
[Autonomous Driving] Virtual Environment...,네이버,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5ed0334bca0963cb
[기술플랫폼실] 정보보호 담당자 영입,카카오페이,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=6e9819bc1b7015c9
주식운용실(퀀트운용팀) 인턴사원,유진자산운용,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=953a4e73b00652f5
콘텐츠서비스개발팀 - 데이터분석가,Nexon,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b35da47f5e84c9b4
[카카오커머스] 기술직군,카카오커머스,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=665e5885dfd75df4
Junior Data Scientist,MSD,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=70b04d34ec7f6078
Quant 트레이딩 부문,벨에포크자산운용,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3e617a8ed7934773
정보보안 담당자,Nexon,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=eeb9fe1c361f0758
(화학대기업) IT기획,화인크루,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=68b442a70cccb88b
추천 시스템 소프트웨어 엔지니어,카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=07375dc4e800dfa9
데이터 엔지니어(신입/경력),쏘카,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=9d54ef61dc825d49
DBA 엔지니어,쏘카,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=609e248684d02ecf
(주)엔디소프트 2020년도 하반기 개발자,엔디소프트,부산 해운대구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=8bbb62bac6755122
[기술기획] [인사/경영지원] 사내시스템 개발자,한국카카오은행,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=02600c41e654780a
2020 KB데이타시스템 경력직 상시,KB데이타시스템,서울 마포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=28fe1c7cb71014dc
AI/빅데이터/클라우드 분야 (인재 Pool),LG유플러스,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=fb617eeb80ea6fa9
